*Offtopic

#Прозой новости или другая не поэтическая информация	11,13,128,155,202,204,209,210,244,257,258,260,344,375,377,381,383,389 
#Конкурсы,сборники stihi.ru	46,65,342,343

#Неновостные стихотворений с общей лексикой	5,7,10,18,24,25,26,30,40,49,51,55,59,60,67,75,87,98,111,112,129,219,219,229,231,233,238,239,240,243,245,247,249,250,256,289,290,291,293,294,295,296,297,298,299,300,301,302,305,306,308,310,313,314,321,337, 345,346,351,360,367,373,376,384,390,438,471,477,483
#Гражданские стихотворения про Россию	1,6,9,17,19,22,23,25,28,29,31,33,36,37,41,44,45,50,53,54,62,101,172,179,226,228,281,354,429
#Гражданские стихотворения не про Россию	56,57,58
#История на гражданскую тематику (описание события,которого никогда не было)	32,246,315

*Новостные стихотворения

Политика государства,депутаты,законы	2,3,12,14, 21,42,194
Думские фракции	2,3
Закон Магнитского - дело Димы Яковлева	15,16,63,115,117
Опальные политики	43,154,161,183,186
Статья Мос. Комсомольца о "политической проституции"	191
Финансы	4,27,61,201
Скандалы с Роснано (Чубайс) - Росатом	8,275

Дни памяти - Холокост	34,35,66
Дни памяти - Блокада	1,20,38,39
Дни памяти - Сталинградская битва	48
Дни памяти - день рус. водки (диссертация Менделеева)	73

Смерть деда Хасана	68
Смерть Алексея Германа-старшего	120
Смерть Уго Чавеса	130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,173,181,193
Смерть Березовского	196,197,198
Смерть Золотухина	205
Смерть (болезнь) Нельсона Манделы	 207,437,439,440,441,444,448,452,473
Смерть Тэтчер	208,211
Смерть Пола Уокера	397
Смерть Калашникова	482,484,485,486,487,488,489,490,491,492

Спорт - биатлон (Домрачева)	86,94
Спорт - хоккей	 217,220,225,232,234,237,326,331,369
Спорт - футбол (Халк)	227,303
Спорт - теннис (Шарапова)	252
Спорт - атлетика (Исинбаева)	309,311,312
Спорт - бокс (Поветкин-Кличко)	348,349,352

Гражданская о роли поэзии (с новостями)	47,173

Самоубийство Долматова	52,72
Саммит в Давосе	61,64
Липовые кандидаты наук - критика системы образования	69,71,248
Мятеж Квачкова	70
Взрыв на шахте Воркутинская	74
Челябинский метеорит	76,77,78,79,81,82,83,84,85,88,89,90,91,92,93,95,97,99,102,103,104,107,110,113,114,116,118,121
Смена Папы в Ватикане (отречение-избрание-действие)	 80,96,105,106,119,123,124,126,153,156,157,158,160,162,163,164,165,166,168,169,170,171,173,174,175,177,178,180,184,185,187,199
Скандал с кониной в полуфабрикатах	100,125
15-ый съезд компартии	108
Абрамович ремонтирует замок в Лондоне	109
Поднятие тарифов ЖКХ	122
Депардье подарили квартиру в Саранске	127
Бозон Хиггса (открытие и награждение нобелевской премией)	159,350
Встреча Милонова со Стивеном Фраем	167
Офшоры Кипр	182,188,189,190,192,194,195
Задержание Новгородской ОПГ	203
Губернатор Ульяновск. обл. заменил текст Дины Рубиной на Тотальном диктанте	206
Неудачная шутка Урганта про Украину	212
Витас сбил велосипедистку	224
Неудачная вербовка ЦРУ	230
Евровидение	235,236
Легализация однополых браков	251
Французский писатель застрелился против однополых браков	241
Торнадо в Оклахоме	242
Сноуден	253,259,261,262,263,264,265,266,267,268,269,270,271,272,274,277,278,279,280,282,283
Съезд Общероссийского Народного Фронта	254
Протон не взлетел	275,276,278,283
Сочи-2014	284
Пиджак президента Польши испачкали яйцов во время визита на Украину	285
Универсиада Казань	286,287
ДТП под Подольском	288
Убийство пастыря Павла Адельгейма	304
Годовщина войны-2008 в Грузии-Саакашвили	307
Наводнение на Дальнем Востоке	316,317,317,319,322,327,329,333
Смена пола Брэдли Мэннинга	318
Саммит Двадцатки в Стрельне	336
Ройзман стал мэром Екатеринбурга	339
Пожар в Новгород. обл. психоневр. интернате	341
Задержание экологов гринпис на территории России	347
Курбан-Байрам	362
Прослушка телефона Меркель	374,378
Поимка Полонского в Камбодже	379
Дело Оборонсервиса-Сердюков	380,393,395,444
Гололедица	382
Катастрофа боинга в Казани	381,383,385,386,387
Обрушение круши над супермаркетом в Риге	388
Казнь Чан Сотхэка (дядя Ким Ченына)	465,472,473
Освобождение Ходорковского,Лебедева	482,484,485,488

Митинги против Эрдогана в Турции	255
Митинги против Мурси в Египте	273

Убийство Егора Щербакова на овощебазе в Бирюлево-бойня-мигранты	353,355,356,357,358,359,361,363,364,365,366,368,370,372
Взрывы на Бостонском марафоне	213,214,215,216,218,221,222,223
Бойня в Белграде	218,221,222,223
Теракт в Волгограде	371,372

Майдан	176,391,392,394,396,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,430,431,432,433,434,435,436,442,443,444,445,446,447,448,449,450,451,453,454,455,456,457,458,459,460,461,462,463,464,466,467,468,469,470,474,475,476,478,479,480,481,482
Война на Ближнем Востоке	200,292,320,323,324,325,328,330,332,333,334,335,338,340
